# Gradient from BCP/RCP (upwards)
# number of points: 123
# ---- origin of the path ---- 
# name: b5 (bond) ncp: 13 ncpcel: 13
# rho: 3.137795072E-01 grad: 2.500538196E-15 lap: -9.019386871E-01
# starting position (cryst.): 0.57733558   0.35645714   0.49411765   
# starting position (bohr): 1.13598238   -1.97363576  -0.00001294  
# starting path direction (bohr): -0.86641020  -0.49933291  0.00000125   
# ---- end of the path ---- 
# name: C_ (nucleus) ncp: 4 ncpcel: 4
# rho: 1.224259735E+02 grad: 0.000000000E+00 lap: -4.123135600E+06
# end position (cryst.): 0.49664593   0.30995864   0.49411927   
# end position (bohr): 0.00000000   -2.62826100  0.00000000   
# 
#          x                    y                    z                  rho                 rhox                 rhoy                 rhoz                rhoxx                rhoxy                rhoxz                rhoyy                rhoyz                rhozz 
  0.616140248219E+00  -0.227324201966E+01  -0.119375869350E-04   0.389541419725E+00  -0.396206114833E+00  -0.228304201733E+00   0.421970703575E-05   0.265720466830E+01   0.231608139570E+01  -0.268352657888E-03  -0.470368143177E-01  -0.330043288125E-03  -0.121391854978E+01 
  0.607475881647E+00  -0.227823488977E+01  -0.117449163937E-04   0.394321273561E+00  -0.432789843070E+00  -0.249359211583E+00   0.112601194462E-04   0.298297998637E+01   0.255919531279E+01  -0.701701873510E-03   0.320170964775E-01  -0.821413870797E-03  -0.128517460634E+01 
  0.598812060312E+00  -0.228322870592E+01  -0.114802823274E-04   0.399547755235E+00  -0.473657220339E+00  -0.273057299215E+00   0.184371751611E-04   0.337875388686E+01   0.282862024299E+01   0.456232666616E-04   0.122467959802E+00   0.115900975520E-03  -0.137636169784E+01 
  0.590148385909E+00  -0.228822277699E+01  -0.112828710925E-04   0.405276445427E+00  -0.519893075043E+00  -0.299709969227E+00   0.108028834005E-04   0.386005784216E+01   0.314183889579E+01   0.557736403039E-03   0.214280075069E+00   0.516316021937E-03  -0.147550267026E+01 
  0.581484658207E+00  -0.229321675559E+01  -0.111284708089E-04   0.411572928514E+00  -0.572198286788E+00  -0.329820119908E+00   0.731373532691E-05   0.440102169978E+01   0.350123561969E+01  -0.307413042360E-03   0.339870170090E+00   0.310758631311E-03  -0.157371901933E+01 
  0.572820992929E+00  -0.229821084248E+01  -0.109306841041E-04   0.418512175107E+00  -0.631446099730E+00  -0.364001286475E+00   0.122299248974E-04   0.501988161646E+01   0.392213812972E+01  -0.118234269843E-02   0.491707922340E+00   0.337122615435E-04  -0.169342546461E+01 
  0.564156727056E+00  -0.230320388733E+01  -0.106263052402E-04   0.426179924506E+00  -0.698494359800E+00  -0.402578283127E+00   0.254323020147E-04   0.569337133288E+01   0.436451976527E+01  -0.185628681282E-02   0.584865068553E+00  -0.370332839005E-04  -0.184800771473E+01 
  0.555492461183E+00  -0.230819693217E+01  -0.103219263758E-04   0.434668596509E+00  -0.774047944389E+00  -0.445824990731E+00   0.410985664429E-04   0.643892324407E+01   0.487296037591E+01  -0.156942994154E-02   0.730354725303E+00  -0.111973954659E-03  -0.202276086410E+01 
  0.546826502619E+00  -0.231318703857E+01  -0.985603131953E-05   0.444081308173E+00  -0.859000673314E+00  -0.494541151191E+00   0.469505848539E-04   0.724474481146E+01   0.544841492218E+01   0.318218207921E-04   0.897971768945E+00   0.162933293397E-03  -0.222796163413E+01 
  0.538160333161E+00  -0.231817677872E+01  -0.941406418065E-05   0.454533702024E+00  -0.954601147100E+00  -0.549660454108E+00   0.473944826810E-04   0.817470431021E+01   0.612886645950E+01  -0.432847680626E-03   0.111418517059E+01  -0.588941846179E-04  -0.243432593710E+01 
  0.529495221460E+00  -0.232316835553E+01  -0.900162010842E-05   0.466158603054E+00  -0.106214300451E+01  -0.611999108464E+00   0.489936747341E-04   0.917493651160E+01   0.686795411425E+01  -0.145169880023E-03   0.130924957967E+01   0.459050190122E-04  -0.267448627814E+01 
  0.520831444075E+00  -0.232816224793E+01  -0.863904739612E-05   0.479099597188E+00  -0.118242808177E+01  -0.681733843348E+00   0.467652802067E-04   0.102435847980E+02   0.766264050416E+01   0.315278780297E-03   0.144114582974E+01   0.181100674558E-03  -0.294824606198E+01 
  0.512168884951E+00  -0.233315825327E+01  -0.834524083260E-05   0.493511627810E+00  -0.131714989590E+01  -0.759814960823E+00   0.404879610207E-04   0.115246212352E+02   0.859618496333E+01   0.598283366494E-03   0.166429521988E+01   0.183126007365E-03  -0.326251550406E+01 
  0.503507469751E+00  -0.233815624153E+01  -0.813302326197E-05   0.509575490480E+00  -0.146850652514E+01  -0.847578282962E+00   0.330879413785E-04   0.129526015388E+02   0.962199366401E+01   0.134563897527E-02   0.191192647913E+01   0.299648047272E-03  -0.361409178679E+01 
  0.494846903564E+00  -0.234315570083E+01  -0.801251476723E-05   0.527493483386E+00  -0.163830768622E+01  -0.945934216381E+00   0.112666043739E-04   0.145382545595E+02   0.107719103599E+02   0.132934364943E-02   0.214966850186E+01   0.517915656631E-04  -0.402960605208E+01 
  0.486186716460E+00  -0.234815581676E+01  -0.786516295026E-05   0.547490863593E+00  -0.182889360201E+01  -0.105609791022E+01   0.229928985025E-04   0.163378932811E+02   0.120708110548E+02  -0.310846373123E-02   0.240176177614E+01  -0.137301309894E-02  -0.450367311339E+01 
  0.477526570500E+00  -0.235315600395E+01  -0.764491089233E-05   0.569821896573E+00  -0.204297038914E+01  -0.117964206988E+01   0.607461959136E-04   0.183651841183E+02   0.135526220628E+02  -0.309166804596E-02   0.269882351731E+01  -0.971634186037E-03  -0.504995256083E+01 
  0.468866164112E+00  -0.235815574005E+01  -0.738382223897E-05   0.594774375905E+00  -0.228353465862E+01  -0.131837653262E+01   0.775546121694E-04   0.206501587248E+02   0.152090711183E+02  -0.153919479871E-02   0.302654568841E+01  -0.743914067359E-05  -0.566224348891E+01 
  0.460205757723E+00  -0.236315547616E+01  -0.712273358516E-05   0.622672363441E+00  -0.255406502297E+01  -0.147411880234E+01   0.874560272972E-04   0.232580318542E+02   0.170884673427E+02  -0.949270934563E-03   0.341681768711E+01   0.357883222136E-03  -0.633037486165E+01 
